WEEK,Number of Mosquitoes,Result,Air Temperature,Total Rain,Wind Speed,Precipitation Type
27,44.75,14556.0,22.752780983786757,200.0025,2.228276999175597,3.809523809523809
28,28.4,17455.0,23.007255800630197,226.44655025553664,2.401489544543111,4.0374787052810905
29,43.4,34940.0,24.86363766456783,270.0171030405405,2.3168002289639382,4.839527027027027
30,37.21428571428572,49364.0,23.55629041406693,313.6322091062395,2.3171582529778787,1.821247892074199
31,36.42857142857143,118475.0,24.25789364844904,328.63946227233305,2.1727326440177253,2.7320034692107544
32,38.224489795918366,170667.0,23.61511915015791,322.5146228402865,2.1463680734998567,1.820480404551201
33,37.18333333333333,205860.0,23.815313319731857,323.4566286215979,2.3134654619644417,2.923617208077261
34,30.64444444444445,152235.0,23.382329293526457,356.06678507992893,2.296689328997931,3.4902309058614565
35,31.344827586206897,99441.0,22.17048993875765,380.1246066433566,2.388393117526976,2.8583916083916083
36,31.714285714285715,47376.0,22.169932033096927,385.92925744775454,2.527866430260047,3.014673188083593
37,30.83333333333333,36480.0,21.22159210526316,427.2377041306437,2.4850657894736843,3.890489913544669
38,21.33333333333333,27180.0,20.950317880794703,454.9576081672338,2.559403973509934,2.9460379192999517
39,17.75,12808.0,18.51385071830106,484.5336797354747,2.567520299812617,2.720831365139348
